Food,Calories,Protein,Fat,Carbohydrates,Nutrition Density
cream cheese,51,0.9,5.0,0.8,7.07
neufchatel cheese,215,7.8,19.4,3.1,130.1
requeijao cremoso light catupiry,49,0.8,3.6,0.9,5.4
ricotta cheese,30,1.5,2.0,1.5,5.196
cream cheese low fat,30,1.2,2.3,1.2,27.007
cream cheese fat free,19,2.8,0.2,1.4,67.679
gruyere cheese,116,8.3,9.1,0.1,300.694
cheddar cheese,113,6.4,9.3,0.9,215.53
parmesan cheese,71,6.4,4.5,0.6,224.777
romano cheese,19,1.6,1.3,0.2,56.38
parmesan cheese grated,21,1.4,1.4,0.7,3.745
port salut cheese,465,31.4,37.2,0.8,928.4
swiss cheese,98,6.7,7.7,0.4,237.396
goat cheese hard,128,8.6,10.1,0.6,273.2
gouda cheese,100,7.0,7.7,0.6,211.424
pepper jack cheese lucerne,75,5.0,6.0,0.0,13.5
caraway cheese,106,7.1,8.3,0.9,207.072
gjetost cheese,1058,21.9,67.0,96.8,1095.7
tilsit cheese,136,9.8,10.4,0.8,301.069
goat cheese,103,6.1,8.4,0.009,99.494
brick cheese,111,7.0,8.9,0.8,219.002
asadero cheese,402,25.5,31.9,3.2,808.175
camembert cheese,90,5.9,7.3,0.1,129.826
provolone cheese reduced fat,310,27.9,19.9,4.0,906.9
roquefort cheese,314,18.3,26.0,1.7,609.4
queso blanco cheese,366,24.0,28.7,3.0,870.3
queso seco cheese,315,23.8,23.6,2.0,691.0
goat cheese soft,75,5.2,6.0,0.0,51.311
mozzarella cheese,90,6.7,6.6,0.7,165.648
chihuahua cheese,494,28.5,39.2,7.3,934.983
limburger cheese,98,6.0,8.2,0.1,163.575
muenster cheese,486,30.9,39.7,1.5,1019.4
queso fresco cheese,365,22.1,29.1,3.6,745.8
brie cheese,100,6.2,8.3,0.1,70.096
pimento cheese,525,31.0,43.7,2.4,940.9
mexican cheese,316,27.7,21.7,3.8,1337.0
feta cheese,80,4.3,6.4,1.2,160.058
mozzarella cheese fat free,159,35.8,0.0,4.0,1128.2
provolone cheese,463,33.8,35.1,2.8,1070.6
anejo cheese,492,28.3,39.6,6.1,972.205
